Dataset_ID	Sample_ID	Subtype	Prognosis_time	Prognosis	Gene_expression
GSE68848	GSM1683517	None	None	None	10.675074920385445
GSE68848	GSM1683523	None	None	None	8.434628227636725
GSE68848	GSM1683540	III	None	None	8.388017285345136
GSE68848	GSM1683559	III	None	None	9.238404739325079
GSE68848	GSM1683561	None	None	None	8.348728154231077
GSE68848	GSM1683572	III	None	None	9.197216693110052
GSE68848	GSM1683574	II	None	None	8.383704292474054
GSE68848	GSM1683584	III	None	None	9.573647187493323
GSE68848	GSM1683591	None	None	None	8.550746785383243
GSE68848	GSM1683595	III	None	None	10.06339508128851
GSE68848	GSM1683609	III	None	None	8.584962500721156
GSE68848	GSM1683633	II	None	None	8.643856189774725
GSE68848	GSM1683651	None	None	None	9.346513733165635
GSE68848	GSM1683682	II	None	None	9.192292814470768
GSE68848	GSM1683695	III	None	None	8.965784284662087
GSE68848	GSM1683705	None	None	None	8.17492568250068
GSE68848	GSM1683707	None	None	None	8.370687406807217
GSE68848	GSM1683711	II	None	None	11.161761743304675
GSE68848	GSM1683745	None	None	None	9.556506054671928
GSE68848	GSM1683750	None	None	None	9.39231742277876
GSE68848	GSM1683766	III	None	None	8.194756854422248
GSE68848	GSM1683789	II	None	None	8.848622940429339
GSE68848	GSM1683804	None	None	None	8.262094845370179
GSE68848	GSM1683819	III	None	None	7.6653359171851765
GSE68848	GSM1683825	None	None	None	7.965784284662087
GSE68848	GSM1683829	III	None	None	8.071462362556625
GSE68848	GSM1683832	None	None	None	8.31741261376487
GSE68848	GSM1683838	III	None	None	9.022367813028454
GSE68848	GSM1683840	None	None	None	7.930737337562887
GSE68848	GSM1683849	II	None	None	8.67595703294175
GSE68848	GSM1683867	None	None	None	8.787902559391432
GSE68848	GSM1683875	III	None	None	9.339850002884624
GSE68848	GSM1683915	III	None	None	8.487840033823051
GSE68848	GSM1683989	II	None	None	9.20212382383046
GSE68848	GSM1683992	None	None	None	8.08746284125034
GSE68848	GSM1684015	None	None	None	8.829722735086058
GSE68848	GSM1684020	III	None	None	8.50382573799575
GSE68848	GSM1684021	III	None	None	10.25266543245025
GSE68848	GSM1684035	None	None	None	10.232420927176076
GSE68848	GSM1684051	None	None	None	8.531381460516313
GSE68848	GSM1684057	None	None	None	8.710806433699352
GSE68848	GSM1683520	II	None	None	8.409390936137703
GSE68848	GSM1683522	III	None	None	8.94251450533924
GSE68848	GSM1683530	III	None	None	8.974414589805528
GSE68848	GSM1683539	II	None	None	9.113742166049189
GSE68848	GSM1683544	II	None	None	9.154818109052105
GSE68848	GSM1683547	III	None	None	9.057991722759176
GSE68848	GSM1683553	III	None	None	9.060695931687555
GSE68848	GSM1683555	III	None	None	9.105908508571158
GSE68848	GSM1683562	II	None	None	8.88264304936184
GSE68848	GSM1683564	None	None	None	9.328674927327947
GSE68848	GSM1683567	III	None	None	8.647458426454921
GSE68848	GSM1683570	II	None	None	9.16490692667569
GSE68848	GSM1683580	II	None	None	9.471675214392045
GSE68848	GSM1683585	II	None	None	8.658211482751796
GSE68848	GSM1683592	II	None	None	8.774787059601174
GSE68848	GSM1683594	II	None	None	8.632995197142959
GSE68848	GSM1683600	None	None	None	9.854868383260238
GSE68848	GSM1683601	III	None	None	9.688250309133178
GSE68848	GSM1683602	II	None	None	8.491853096329676
GSE68848	GSM1683603	III	None	None	8.845490050944376
GSE68848	GSM1683606	II	None	None	8.78135971352466
GSE68848	GSM1683607	II	None	None	9.022367813028454
GSE68848	GSM1683608	II	None	None	8.948367231584678
GSE68848	GSM1683610	II	None	None	8.909893083770042
GSE68848	GSM1683626	II	None	None	9.896332403909941
GSE68848	GSM1683629	II	None	None	9.594324603924848
GSE68848	GSM1683634	III	None	None	8.980139577639157
GSE68848	GSM1683636	III	None	None	9.204571144249204
GSE68848	GSM1683641	II	None	None	8.599912842187129
GSE68848	GSM1683642	II	None	None	9.894817763307943
GSE68848	GSM1683646	II	None	None	8.531381460516313
GSE68848	GSM1683647	III	None	None	8.285402218862249
GSE68848	GSM1683664	III	None	None	8.816983623255382
GSE68848	GSM1683672	II	None	None	10.207014320177533
GSE68848	GSM1683675	III	None	None	8.936637939002571
GSE68848	GSM1683677	II	None	None	9.25266543245025
GSE68848	GSM1683679	III	None	None	8.879583249612784
GSE68848	GSM1683680	III	None	None	8.92481250360578
GSE68848	GSM1683687	II	None	None	10.002815015607053
GSE68848	GSM1683696	II	None	None	8.531381460516313
GSE68848	GSM1683700	II	None	None	10.50382573799575
GSE68848	GSM1683704	II	None	None	9.67595703294175
GSE68848	GSM1683710	II	None	None	7.906890595608519
GSE68848	GSM1683724	III	None	None	8.46352437327118
GSE68848	GSM1683726	III	None	None	8.839203788096945
GSE68848	GSM1683729	III	None	None	9.523561956057014
GSE68848	GSM1683730	II	None	None	8.312882955284357
GSE68848	GSM1683735	None	None	None	8.79766152585376
GSE68848	GSM1683736	III	None	None	9.36850646150769
GSE68848	GSM1683744	II	None	None	8.113742166049189
GSE68848	GSM1683751	II	None	None	8.778077129535358
GSE68848	GSM1683759	II	None	None	8.50382573799575
GSE68848	GSM1683760	II	None	None	8.672425341971495
GSE68848	GSM1683763	II	None	None	10.207014320177533
GSE68848	GSM1683772	II	None	None	8.535275376620802
GSE68848	GSM1683780	III	None	None	9.631177055703978
GSE68848	GSM1683806	II	None	None	8.721099188707186
GSE68848	GSM1683828	III	None	None	8.554588851677638
GSE68848	GSM1683833	III	None	None	8.73809225962049
GSE68848	GSM1683835	III	None	None	8.88264304936184
GSE68848	GSM1683839	None	None	None	9.06339508128851
GSE68848	GSM1683861	II	None	None	8.76155123244448
GSE68848	GSM1683864	II	None	None	8.661778097771986
GSE68848	GSM1683868	III	None	None	8.483815777264256
GSE68848	GSM1683878	II	None	None	9.036173612553485
GSE68848	GSM1683885	II	None	None	9.344295907915818
GSE68848	GSM1683889	III	None	None	8.845490050944376
GSE68848	GSM1683892	II	None	None	8.991521846075695
GSE68848	GSM1683893	III	None	None	8.936637939002571
GSE68848	GSM1683896	III	None	None	8.588714635582265
GSE68848	GSM1683901	II	None	None	9.041659151637216
GSE68848	GSM1683908	III	None	None	8.405141463136344
GSE68848	GSM1683910	III	None	None	8.897845456005513
GSE68848	GSM1683920	III	None	None	8.988684686772165
GSE68848	GSM1683923	II	None	None	10.214319120800766
GSE68848	GSM1683924	None	None	None	9.370687406807217
GSE68848	GSM1683925	III	None	None	9.294620748891628
GSE68848	GSM1683928	III	None	None	9.818582177480858
GSE68848	GSM1683930	II	None	None	8.918863237274595
GSE68848	GSM1683931	III	None	None	8.118941072723507
GSE68848	GSM1683949	II	None	None	8.546894459887637
GSE68848	GSM1683954	II	None	None	9.4655664048094
GSE68848	GSM1683956	II	None	None	8.832890014164743
GSE68848	GSM1683967	II	None	None	9.324180546618742
GSE68848	GSM1683969	III	None	None	8.78135971352466
GSE68848	GSM1683970	III	None	None	8.233619676759702
GSE68848	GSM1683971	III	None	None	8.422064766172811
GSE68848	GSM1683975	III	None	None	9.118941072723507
GSE68848	GSM1683976	II	None	None	8.88874324889826
GSE68848	GSM1683985	II	None	None	8.76487159073609
GSE68848	GSM1684012	II	None	None	8.523561956057014
GSE68848	GSM1684016	II	None	None	8.214319120800766
GSE68848	GSM1684022	II	None	None	8.86418614465428
GSE68848	GSM1684024	None	None	None	9.985841937003341
GSE68848	GSM1684025	II	None	None	8.867278739709663
GSE68848	GSM1684027	III	None	None	9.493855449240824
GSE68848	GSM1684031	II	None	None	9.087462841250339
GSE68848	GSM1684033	II	None	None	8.08746284125034
GSE68848	GSM1684046	II	None	None	8.67595703294175
GSE68848	GSM1684050	II	None	None	8.45532722030456
GSE68848	GSM1684059	III	None	None	8.90388184573618
GSE68848	GSM1684061	II	None	None	8.422064766172811
GSE68848	GSM1684072	III	None	None	8.804131021183318
GSE68848	GSM1684076	III	None	None	8.592457037268082
GSE68848	GSM1684084	III	None	None	8.774787059601174
GSE68848	GSM1684090	II	None	None	9.060695931687555
GSE68848	GSM1684092	III	None	None	9.20945336562895
GSE68848	GSM1683515	None	None	None	10.016808287686555
GSE68848	GSM1683528	None	None	None	8.581200581924957
GSE68848	GSM1683531	None	None	None	9.147204924942228
GSE68848	GSM1683533	None	None	None	8.149747119504683
GSE68848	GSM1683535	None	None	None	8.689997971419446
GSE68848	GSM1683538	None	None	None	9.121533517340032
GSE68848	GSM1683541	None	None	None	8.79766152585376
GSE68848	GSM1683546	IV	None	None	8.679480099505447
GSE68848	GSM1683551	None	None	None	8.88874324889826
GSE68848	GSM1683552	None	None	None	9.008428622070582
GSE68848	GSM1683560	None	None	None	8.396604781181859
GSE68848	GSM1683566	None	None	None	9.812177305514448
GSE68848	GSM1683575	IV	None	None	10.356451970221755
GSE68848	GSM1683576	IV	None	None	9.487840033823051
GSE68848	GSM1683578	None	None	None	8.88874324889826
GSE68848	GSM1683587	None	None	None	8.276124405274238
GSE68848	GSM1683589	None	None	None	8.83605035505807
GSE68848	GSM1683593	None	None	None	9.485829308701904
GSE68848	GSM1683598	IV	None	None	10.290018846932618
GSE68848	GSM1683612	None	None	None	8.7714894695006
GSE68848	GSM1683614	IV	None	None	9.342074667999139
GSE68848	GSM1683615	None	None	None	9.461479447286157
GSE68848	GSM1683619	IV	None	None	9.57553924683453
GSE68848	GSM1683625	None	None	None	8.686500527183219
GSE68848	GSM1683639	None	None	None	8.710806433699352
GSE68848	GSM1683650	None	None	None	9.008428622070582
GSE68848	GSM1683655	None	None	None	9.513727595952437
GSE68848	GSM1683663	None	None	None	9.417852514885897
GSE68848	GSM1683669	None	None	None	8.885696373339394
GSE68848	GSM1683671	None	None	None	9.339850002884624
GSE68848	GSM1683683	IV	None	None	8.848622940429339
GSE68848	GSM1683684	IV	None	None	8.005624549193879
GSE68848	GSM1683698	None	None	None	8.262094845370179
GSE68848	GSM1683699	None	None	None	8.957102041562287
GSE68848	GSM1683708	None	None	None	7.924812503605781
GSE68848	GSM1683721	None	None	None	10.197216693110054
GSE68848	GSM1683737	None	None	None	8.813781191217037
GSE68848	GSM1683738	None	None	None	9.16490692667569
GSE68848	GSM1683740	None	None	None	8.082149041353873
GSE68848	GSM1683741	None	None	None	8.459431618637296
GSE68848	GSM1683743	None	None	None	8.179909090014934
GSE68848	GSM1683749	None	None	None	8.499845887083206
GSE68848	GSM1683756	None	None	None	7.977279923499917
GSE68848	GSM1683764	None	None	None	9.194756854422247
GSE68848	GSM1683782	None	None	None	8.974414589805528
GSE68848	GSM1683784	None	None	None	9.038918989292304
GSE68848	GSM1683797	None	None	None	8.658211482751796
GSE68848	GSM1683802	None	None	None	10.290018846932618
GSE68848	GSM1683805	None	None	None	9.111135670234708
GSE68848	GSM1683813	None	None	None	8.479780264029099
GSE68848	GSM1683814	None	None	None	10.210671343785622
GSE68848	GSM1683815	None	None	None	8.693486957499326
GSE68848	GSM1683816	None	None	None	9.335390354693924
GSE68848	GSM1683817	None	None	None	9.581200581924957
GSE68848	GSM1683836	None	None	None	8.50382573799575
GSE68848	GSM1683841	None	None	None	9.342074667999139
GSE68848	GSM1683844	None	None	None	8.823367240046236
GSE68848	GSM1683845	None	None	None	9.361943773735241
GSE68848	GSM1683853	None	None	None	10.330916878114618
GSE68848	GSM1683856	IV	None	None	9.303780748177104
GSE68848	GSM1683862	None	None	None	8.714245517666123
GSE68848	GSM1683863	None	None	None	10.204571144249204
GSE68848	GSM1683869	None	None	None	9.116343961237469
GSE68848	GSM1683870	IV	None	None	8.79766152585376
GSE68848	GSM1683871	None	None	None	8.348728154231077
GSE68848	GSM1683872	None	None	None	8.523561956057014
GSE68848	GSM1683883	IV	None	None	10.422064766172813
GSE68848	GSM1683886	None	None	None	8.442943495848729
